Date,Open,High,Low,Close,Volume
2014-01-02,51522.0,51656.0,50246.0,50341.0,3476300
2014-01-03,50348.0,50981.0,50269.0,50981.0,7360400
2014-01-06,50980.0,51002.0,50451.0,50974.0,3727800
2014-01-07,50982.0,51478.0,50429.0,50430.0,3339500
2014-01-08,50431.0,50793.0,50424.0,50577.0,2916500
2014-01-09,50576.0,50576.0,49259.0,49322.0,3702600
2014-01-10,49322.0,50145.0,49267.0,49696.0,3509600
2014-01-13,49708.0,50003.0,49309.0,49427.0,2803000
2014-01-14,49421.0,49834.0,49263.0,49703.0,2887800
2014-01-15,49715.0,50230.0,49715.0,50105.0,2835600
2014-01-16,50106.0,50577.0,49628.0,49696.0,2944500
2014-01-17,49696.0,49868.0,49174.0,49182.0,2615000
2014-01-20,49181.0,49292.0,48673.0,48708.0,1413000
2014-01-21,48728.0,49124.0,48440.0,48542.0,3104400
2014-01-22,48543.0,49487.0,48543.0,49300.0,3873300
2014-01-23,49294.0,49598.0,48321.0,48321.0,3881700
2014-01-24,48325.0,48327.0,47494.0,47787.0,3535000
2014-01-27,47782.0,48147.0,47493.0,47701.0,2936000
2014-01-28,47750.0,48488.0,47750.0,47841.0,2694500
2014-01-29,47839.0,47884.0,47154.0,47557.0,3324900
2014-01-30,47554.0,48034.0,47115.0,47244.0,3108300
2014-01-31,47234.0,47652.0,46814.0,47639.0,3718700
2014-02-03,47623.0,47623.0,46109.0,46148.0,3622100
2014-02-04,46148.0,47132.0,46146.0,46964.0,3471600
2014-02-05,46964.0,47148.0,46224.0,46624.0,3358900
2014-02-06,46988.0,48034.0,46632.0,47738.0,3632200
2014-02-07,47739.0,48253.0,47557.0,48074.0,3195800
2014-02-10,48070.0,48136.0,47465.0,47711.0,2634500
2014-02-11,47715.0,48604.0,47589.0,48463.0,3379300
2014-02-12,48467.0,48669.0,48044.0,48217.0,2766300
2014-02-13,48211.0,48211.0,47129.0,47813.0,3167100
2014-02-14,47816.0,48314.0,47756.0,48201.0,3192200
2014-02-17,48200.0,48298.0,47540.0,47576.0,1884200
2014-02-18,47575.0,47712.0,46600.0,46600.0,3860000
2014-02-19,46597.0,47155.0,46134.0,47151.0,3995400
2014-02-20,47127.0,47600.0,46634.0,47289.0,2996900
2014-02-21,47290.0,47816.0,47075.0,47380.0,2605800
2014-02-24,47376.0,47539.0,46991.0,47394.0,2990700
2014-02-25,47388.0,47388.0,46614.0,46716.0,2924800
2014-02-26,46718.0,47010.0,46403.0,46599.0,3225700
2014-02-27,46622.0,47781.0,46622.0,47607.0,3046300
2014-02-28,47614.0,47813.0,47043.0,47094.0,4088300
2014-03-05,47092.0,47154.0,46473.0,46589.0,2293000
2014-03-06,46592.0,47401.0,46502.0,47093.0,3164900
2014-03-07,47093.0,47218.0,46086.0,46244.0,3982800
2014-03-10,46242.0,46242.0,45204.0,45533.0,3673600
2014-03-11,45533.0,46050.0,45401.0,45698.0,3281500
2014-03-12,45687.0,45916.0,45508.0,45862.0,3021300
2014-03-13,45864.0,46176.0,45250.0,45444.0,3118200
2014-03-14,45444.0,45562.0,44905.0,44966.0,3477100
2014-03-17,44979.0,45499.0,44969.0,45118.0,2929300
2014-03-18,45115.0,46217.0,45075.0,46151.0,3593900
2014-03-19,46153.0,46803.0,45910.0,46567.0,3337700
2014-03-20,46565.0,47484.0,46151.0,47279.0,4364800
2014-03-21,47272.0,47832.0,46721.0,47381.0,4187600
2014-03-24,47382.0,48142.0,47382.0,47993.0,3008900
2014-03-25,47993.0,48441.0,47950.0,48180.0,2953800
2014-03-26,48182.0,48725.0,47963.0,47966.0,3439100
2014-03-27,47965.0,49647.0,47962.0,49647.0,5928200
2014-03-28,49653.0,50181.0,49606.0,49768.0,4230500
2014-03-31,49770.0,50418.0,49770.0,50415.0,3645900
2014-04-01,50412.0,50627.0,49774.0,50270.0,3501200
2014-04-02,50273.0,51794.0,50201.0,51701.0,4790700
2014-04-03,51712.0,51991.0,51059.0,51408.0,3503400
2014-04-04,51428.0,52288.0,51034.0,51082.0,3696200
2014-04-07,51115.0,52229.0,51115.0,52155.0,3673400
2014-04-08,52173.0,53394.0,51377.0,51629.0,5496100
2014-04-09,51629.0,51629.0,50653.0,51185.0,4195300
2014-04-10,51185.0,51522.0,50732.0,51128.0,3588900
2014-04-11,51128.0,51871.0,50518.0,51867.0,3395300
2014-04-14,51867.0,52110.0,51361.0,51597.0,2686800
2014-04-15,51593.0,51593.0,49890.0,50454.0,3858800
2014-04-16,50469.0,51288.0,50469.0,51201.0,3427100
2014-04-17,51200.0,52338.0,50886.0,52111.0,3015500
2014-04-22,52112.0,52460.0,51682.0,51977.0,3492900
2014-04-23,51975.0,51975.0,51400.0,51570.0,2844000
2014-04-24,51570.0,51963.0,51238.0,51817.0,3186900
2014-04-25,51817.0,51817.0,51019.0,51399.0,2954700
2014-04-28,51397.0,51472.0,50777.0,51384.0,2711300
2014-04-29,51386.0,52416.0,51386.0,51839.0,4326300
2014-04-30,51838.0,51838.0,51251.0,51627.0,4623600
2014-05-02,51630.0,53060.0,51628.0,52980.0,8106000
2014-05-05,52989.0,53506.0,52931.0,53446.0,4441100
2014-05-06,53446.0,53986.0,53094.0,53780.0,4965700
2014-05-07,53786.0,54226.0,53499.0,54053.0,4569600
2014-05-08,54053.0,54249.0,53222.0,53422.0,3344300
2014-05-09,53422.0,53639.0,53057.0,53100.0,3177900
2014-05-12,53103.0,54053.0,53103.0,54053.0,2744300
2014-05-13,54056.0,54243.0,53731.0,53907.0,2956600
2014-05-14,53913.0,54459.0,53867.0,54413.0,2878900
2014-05-15,54404.0,54404.0,53565.0,53856.0,3436100
2014-05-16,53856.0,54382.0,53709.0,53976.0,3541400
2014-05-19,53976.0,53991.0,53267.0,53353.0,3089500
2014-05-20,53353.0,53843.0,52313.0,52366.0,3948600
2014-05-21,52366.0,52875.0,52203.0,52203.0,3248100
2014-05-22,52206.0,52851.0,52133.0,52806.0,2941400
2014-05-23,52808.0,52936.0,52403.0,52626.0,2462300
2014-05-26,52650.0,53044.0,52650.0,52933.0,1186800
2014-05-27,52932.0,53309.0,52079.0,52174.0,2894700
2014-05-28,52174.0,52858.0,52009.0,52640.0,2842500
2014-05-29,52649.0,52889.0,52031.0,52239.0,2394300
2014-05-30,52233.0,52233.0,51239.0,51239.0,4533200
2014-06-02,51239.0,51879.0,51239.0,51606.0,2597900
2014-06-03,51606.0,52032.0,51377.0,52032.0,2859400
2014-06-04,52032.0,52032.0,51609.0,51833.0,2571500
2014-06-05,51833.0,52245.0,51470.0,51559.0,2890000
2014-06-06,51562.0,53175.0,51562.0,53129.0,4298400
2014-06-09,53129.0,54462.0,53091.0,54273.0,3660000
2014-06-10,54273.0,54604.0,53960.0,54604.0,3729900
2014-06-11,54677.0,55284.0,54677.0,55102.0,3796000
2014-06-13,55102.0,55104.0,54649.0,54807.0,2664400
2014-06-16,54807.0,54855.0,54475.0,54630.0,2637400
2014-06-17,54630.0,54638.0,54150.0,54300.0,1588400
2014-06-18,54300.0,55202.0,54046.0,55202.0,3265400
2014-06-20,55192.0,55192.0,54540.0,54638.0,2347800
2014-06-23,54637.0,54724.0,54097.0,54210.0,1403100
2014-06-24,54194.0,55002.0,54094.0,54281.0,3121500
2014-06-25,54281.0,54393.0,53363.0,53426.0,2953100
2014-06-26,53427.0,53790.0,53331.0,53507.0,2241300
2014-06-27,53507.0,53614.0,52919.0,53157.0,2370800
2014-06-30,53159.0,53311.0,52709.0,53168.0,2448700
2014-07-01,53170.0,53698.0,52887.0,53172.0,2693300
2014-07-02,53171.0,53245.0,52735.0,53029.0,3156000
2014-07-03,53029.0,53877.0,52760.0,53875.0,3302900
2014-07-04,53893.0,54087.0,53704.0,54056.0,753800
2014-07-07,54042.0,54042.0,53376.0,53802.0,2194500
2014-07-08,53813.0,53905.0,53459.0,53634.0,1854600
2014-07-10,53643.0,54600.0,53643.0,54593.0,4720300
